Shop Name,Shop Code,Store ID,Channel,Area Sup,Customer Name,Customer Code,Sales Org,REGION,Channel Lv1,Channel Lv2
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด ( ),B000093911,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาแพรกษา),B000093953,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาไทรน้อย),B000094977,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาคลอง 12),B000093954,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาชลบุรี),B000094005,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาทรัพย์บุญชัย),B000094352,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาบางบัวทอง),B000146800,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาบางปลา),B000093910,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาปากเกร็ด สาขาที่ 00006),B000146801,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขารังสิต),B000109564,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาลาดกระบัง),B000146802,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด (สาขาวัดลาดปลาดุก สาขาที่ 00007),B000145685,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัดHQ,TSP000365,Not found,DL,BKK,บริษัท บี.ซี.แอร์ ซัพพลาย แอนด์ เซอร์วิสจำกัด,B000089004,6560,BKK Central,RT,Direct Retail
